order_id,customer_id,order_amount,order_date,region,discount_code
ORD-01483,CUST-2644,508.31,2024-01-18,East,
ORD-01484,CUST-8213,229.46,2024-01-29,Central,
ORD-01485,CUST-2633,210.72,2024-01-31,East,
ORD-01486,CUST-9617,424.23,2024-01-31,North,
ORD-01487,CUST-8486,391.25,2024-01-12,West,
ORD-01488,CUST-1251,376.17,2024-01-27,East,
ORD-01489,CUST-3361,376.55,2024-01-28,South,
ORD-01490,CUST-7717,318.9,2024-01-10,North,DC279
ORD-01491,CUST-3529,239.25,2024-01-22,,
ORD-01492,CUST-2225,326.82,2024-01-28,North,DC335
ORD-01493,CUST-8692,259.06,2024-01-14,,DC953
ORD-01494,CUST-5342,407.76,2024-01-10,,DC462
ORD-01495,CUST-6546,306.76,2024-01-23,,
ORD-01496,CUST-7512,245.71,2024-01-09,North,DC143
ORD-01497,CUST-2315,291.08,2024-01-22,East,
ORD-01498,CUST-6383,357.16,2024-01-11,South,
ORD-01499,CUST-9742,269.26,2024-01-24,,
ORD-01500,CUST-7226,246.0,2024-01-27,Central,
ORD-01501,CUST-6188,341.93,2024-01-26,South,
ORD-01502,CUST-8994,342.05,,North,
ORD-01503,CUST-9864,274.38,2024-01-24,Central,DC396
ORD-01504,CUST-1588,277.61,2024-01-24,South,
ORD-01505,CUST-2121,340.88,2024-01-29,Central,
ORD-01506,CUST-4846,189.67,2024-01-07,South,
ORD-01507,CUST-5708,193.33,2024-01-23,South,DC732
ORD-01508,CUST-4727,255.34,2024-01-06,East,
ORD-01509,CUST-2480,300.79,,South,DC470
ORD-01510,CUST-8110,347.98,2024-01-23,Central,
ORD-01511,CUST-2612,452.78,2024-01-23,North,DC349
ORD-01512,,397.19,2024-01-04,East,
ORD-01513,CUST-8269,305.61,,South,
ORD-01514,CUST-3725,318.29,2024-01-28,South,
ORD-01515,CUST-5906,229.77,2024-01-17,Central,DC863
ORD-01516,CUST-1474,318.33,2024-01-04,East,
ORD-01517,CUST-1753,294.02,,,
ORD-01518,CUST-6314,349.04,2024-01-14,North,
ORD-01519,CUST-1919,245.55,2024-01-26,North,DC216
ORD-01512,,397.19,2024-01-04,East,DC298
ORD-01474,CUST-8749,437.49,2024-01-21,East,DC457
ORD-01479,CUST-1606,308.29,,West,
ORD-01487,CUST-8486,391.25,2024-01-12,West,DC760
ORD-01497,CUST-2315,291.08,2024-01-22,East,DC341
ORD-01413,CUST-4335,412.92,,South,
ORD-01501,CUST-6188,341.93,2024-01-26,South,
ORD-01405,CUST-7770,289.89,2024-01-10,,
ORD-01505,CUST-2121,340.88,2024-01-29,Central,
ORD-01449,CUST-7798,263.96,2024-01-16,East,DC177
ORD-01513,CUST-8269,305.61,2024-01-12,South,
ORD-01462,CUST-6446,387.26,2024-01-21,,DC605
ORD-01441,CUST-8483,379.59,2024-01-05,North,
ORD-01494,CUST-5342,407.76,,Central,DC693
ORD-01422,CUST-4920,50.0,2024-02-01,South,
