order_id,customer_id,order_amount,order_date,discount_code
ORD-01256,CUST-3532,150.52,2024-01-04,DC589
ORD-01257,CUST-4878,208.14,2024-01-28,
ORD-01258,CUST-3662,,2024-02-01,
ORD-01259,CUST-3900,,2024-01-26,DC690
ORD-01260,CUST-7755,175.03,2024-01-09,DC154
ORD-01261,CUST-1406,,2024-01-23,
ORD-01262,CUST-3938,,2024-01-11,DC411
ORD-01263,CUST-6442,169.3,2024-01-09,
ORD-01264,CUST-7745,,2024-01-27,
ORD-01265,CUST-5065,178.56,2024-01-08,DC526
ORD-01266,CUST-5371,,2024-01-06,DC909
ORD-01267,CUST-3608,147.09,2024-01-02,DC894
ORD-01268,,,2024-01-03,DC561
ORD-01269,CUST-7267,89.41,2024-01-09,DC404
ORD-01270,CUST-1634,TBD,2024-01-17,DC539
ORD-01271,CUST-8711,184.26,2024-01-21,
ORD-01272,,158.56,2024-01-29,DC724
ORD-01273,,100.17,2024-01-26,DC201
ORD-01274,,156.93,2024-01-04,DC312
ORD-01275,,,2024-01-16,DC370
ORD-01276,,114.65,2024-01-15,DC260
ORD-01277,CUST-4728,156.15,2024-01-30,
ORD-01278,CUST-4652,,2024-01-22,DC260
ORD-01279,CUST-1387,104.28,2024-01-20,
ORD-01280,,164.31,2024-01-08,DC708
ORD-01281,CUST-7528,,2024-01-24,DC133
ORD-01282,CUST-6378,,2024-01-24,
ORD-01283,CUST-5564,,2024-01-14,DC819
ORD-01284,CUST-2137,,2024-01-17,DC172
ORD-01285,CUST-5573,112.49,2024-01-14,DC370
ORD-01286,,170.6,2024-01-09,DC740
ORD-01287,,TBD,2024-01-06,DC923
ORD-01288,,170.6,2024-01-22,DC535
ORD-01289,,304.11,2024-01-24,
ORD-01290,CUST-6425,,2024-01-02,
ORD-01291,,195.42,2024-01-30,
ORD-01292,CUST-2889,188.16,2024-01-26,
ORD-01293,CUST-5279,,2024-01-29,
ORD-01294,CUST-3925,137.39,2024-01-26,
ORD-01295,,180.36,2024-01-30,DC709
ORD-01296,CUST-1626,119.09,2024-01-05,DC682
ORD-01297,CUST-2776,140.53,2024-01-26,DC549
ORD-01298,CUST-8119,130.59,2024-01-15,
ORD-01299,,153.27,2024-01-09,DC816
ORD-01300,CUST-6139,242.59,2024-01-07,DC378
ORD-01301,CUST-8149,,2024-01-27,DC605
ORD-01302,CUST-9379,177.45,2024-02-01,DC712
ORD-01303,CUST-2894,85.49,2024-01-24,
ORD-01304,,131.12,2024-01-18,DC430
ORD-01305,CUST-4114,,2024-01-16,DC126
ORD-01306,CUST-5173,152.57,2024-01-03,
ORD-01307,CUST-1727,,2024-01-19,DC956
ORD-01308,CUST-8144,,2024-01-09,DC701
ORD-01309,CUST-1027,177.18,2024-01-31,DC883
ORD-01310,CUST-9518,120.79,2024-01-29,DC375
ORD-01311,CUST-9821,158.66,2024-01-05,DC881
ORD-01312,,151.82,2024-01-16,DC581
ORD-01313,,123.94,2024-01-06,DC552
ORD-01314,CUST-8066,235.76,2024-01-27,DC285
ORD-01315,CUST-2146,--,2024-01-16,DC546
ORD-01316,CUST-6409,68.99,2024-01-23,DC603
ORD-01317,CUST-6143,157.46,2024-01-18,DC581
ORD-01318,,TBD,2024-01-19,
ORD-01319,CUST-5920,184.1,2024-01-21,
